ID,Standard,Sekce metodiky,Téma,Obtížnost,Typ,Otázka,Odpověď A,Odpověď B,Odpověď C,Správná odpověď,Správná odpověď ID,Vysvětlení,Ověřovaná kompetence,Kritické téma,Verze banky,Verze metodiky,Aktivní
SAS-012,3,Standard 3.2–3.5.,Dobrovolný vstup do služby,POKROČILÁ,situační,"Rodina přichází na doporučení OSPOD. Rodič říká, že si není jistý, zda chce službu využívat, ale je ochoten si vyslechnout informace. Jaký je nejvhodnější další postup SAS?","Domluvit zkušební období spolupráce a otázku souhlasu uzavřít až po několika návštěvách, protože podnět přišel od OSPOD.","Požádat OSPOD, aby s rodičem nejprve vyřešil jeho motivaci; do té doby jednání se zájemcem nepokračovat.","Srozumitelně vysvětlit obsah, limity a dobrovolnost služby, zjistit očekávání rodiny a ponechat rozhodnutí o zahájení spolupráce na zájemci.",C,SAS-012-C,"Doporučení OSPOD neruší dobrovolnost služby. Úkolem SAS je poskytnout srozumitelné informace, zjistit situaci a očekávání a umožnit zájemci svobodně se rozhodnout.",Rozlišení doporučení instituce od dobrovolného vstupu do služby.,NE,1.0,Metodika SAS Emcéčko – přiložená verze,ANO
SAS-013,4,Standard 4.3 – Úhrada za službu.,Bezplatnost služby,ZÁKLADNÍ,znalostní,Jaká je podle metodiky úhrada za základní činnosti SAS?,Služba je poskytována bezplatně.,Výše úhrady se sjednává s každou rodinou individuálně.,Bezplatné jsou pouze terénní návštěvy.,A,SAS-013-A,Metodika uvádí nulovou úhradu za základní činnosti SAS.,Znalost základní podmínky poskytování služby.,NE,1.0,Metodika SAS Emcéčko – přiložená verze,ANO
SAS-014,4,Standard 4.2 – Doba poskytování služby.,Doba trvání smlouvy,ZÁKLADNÍ,znalostní,Jak je podle metodiky smlouva standardně nastavena z hlediska délky?,Vždy na dobu neurčitou bez možnosti časového omezení.,"Na dobu určitou, doporučeně 6–12 měsíců, s možností prodloužení podle potřeb rodiny a IP.",Vždy přesně na jeden kalendářní rok bez možnosti změny.,B,SAS-014-B,"Metodika doporučuje časově ohraničenou podporu, kterou je možné podle vyhodnocených potřeb prodloužit.",Základní orientaci ve smluvním nastavení služby.,NE,1.0,Metodika SAS Emcéčko – přiložená verze,ANO
SAS-015,4,Standard 4.5 – Změny a dodatky smlouvy.,Dodatek ke smlouvě,STŘEDNÍ,situační,V průběhu spolupráce se rodina s pracovníkem dohodne na významné změně rozsahu a frekvence poskytované služby. Jak se má změna provést?,"Stačí ústní dohoda, pokud ji pracovník uvede do záznamu z návštěvy.",Stačí novou frekvenci uvést při nejbližším vyhodnocení individuálního plánu.,"Změna se provede písemným dodatkem ke smlouvě, který je datován a podepsán oběma stranami.",C,SAS-015-C,"Metodika stanovuje pro změny obsahu, rozsahu, frekvence nebo doby platnosti smlouvy písemný dodatek.",Rozlišení běžné dohody v IP od změny smluvních podmínek.,NE,1.0,Metodika SAS Emcéčko – přiložená verze,ANO
SAS-016,4,Standard 4.6 – Ukončení smlouvy.,Ukončení smlouvy klientem,POKROČILÁ,situační,Klient při terénní návštěvě řekne: „Už službu nechci a dneškem končím.“ V individuálním plánu přitom zůstávají nesplněné cíle a na příští týden je domluvené jednání s další službou. Jaký postup je nejlepší?,"Respektovat ukončení i bez udání důvodu, s klientem stručně vyjasnit bezprostřední návaznosti a provést potřebné závěrečné a administrativní kroky.","Doporučit klientovi, aby spolupráci ukončil až po nejbližším vyhodnocení IP, protože nesplněné cíle je vhodné nejprve formálně uzavřít.","Považovat sdělení pouze za záměr ukončit službu a vyžádat si písemnou výpověď, než se zruší naplánované návazné kroky.",A,SAS-016-A,"Klient může službu kdykoli ukončit bez udání důvodu, podle metodiky i ústně. Nesplněné cíle nejsou důvodem pokračování proti jeho vůli; služba však má spolupráci řádně uzavřít a podle potřeby řešit návaznost.",Praktické použití principu dobrovolnosti ve smluvním vztahu.,NE,1.0,Metodika SAS Emcéčko – přiložená verze,ANO
SAS-017,5,Standard 5.4 – Zapojení rodiny do plánování.,Termín prvního IP,ZÁKLADNÍ,znalostní,Do kdy má být podle metodiky sestaven a odsouhlasen první individuální plán?,Do tří měsíců od prvního kontaktu.,Nejpozději do jednoho měsíce od zahájení poskytování služby.,Až při prvním pravidelném vyhodnocení spolupráce.,B,SAS-017-B,"První IP má být dokončen nejpozději do jednoho měsíce, s výjimkou akutní krizové situace popsané metodikou.",Znalost základního časového rámce IP.,NE,1.0,Metodika SAS Emcéčko – přiložená verze,ANO
SAS-018,5,Standard 5.2 a 5.3 – SMART cíle a struktura IP.,SMART cíle,STŘEDNÍ,situační,Který z následujících cílů nejlépe odpovídá způsobu plánování požadovanému metodikou?,„Během tří měsíců se rodina bude snažit lépe hospodařit a omezovat vznik dalších dluhů.“,"„Do tří měsíců pracovník nastaví rodině rozpočet a zajistí, aby jej rodiče dodržovali.“",„Rodiče budou po dobu tří měsíců hospodařit podle dohodnutého rozpočtu bez vzniku nových splatných pohledávek.“,C,SAS-018-C,Třetí varianta je konkrétní a obsahuje měřitelný stav i časový rámec; současně ponechává aktivitu na rodině.,Schopnost rozpoznat kvalitně formulovaný cíl.,NE,1.0,Metodika SAS Emcéčko – přiložená verze,ANO
SAS-019,5,Standard 5.5 – Realizace a vyhodnocování plánu.,Mimořádné vyhodnocení IP,STŘEDNÍ,situační,"Individuální plán byl formálně vyhodnocen před šesti týdny, ale situace rodiny se nyní zásadně změnila. Co má klíčový pracovník udělat?",Vyhodnotit IP mimo pravidelný termín a podle nové situace jej aktualizovat.,"Vyčkat do uplynutí tří měsíců, aby byla zachována pravidelná periodicita.",Původní IP administrativně uzavřít a bez dalšího ukončit službu.,A,SAS-019-A,Tři měsíce jsou nejzazší pravidelnou periodou; zásadní změna situace je samostatným důvodem pro dřívější vyhodnocení.,Porozumění rozdílu mezi pravidelným a mimořádným vyhodnocením.,NE,1.0,Metodika SAS Emcéčko – přiložená verze,ANO
SAS-020,5,Standard 5.4 – Časový rámec individuálního plánování.,Krize před dokončením IP,POKROČILÁ,situační,Krátce po podpisu smlouvy vznikne v rodině akutní krizová situace. Individuální plán ještě není dokončen a rodina se nyní nedokáže soustředit na podrobné plánování. Co je nejlepší postup?,"Sepsat pracovní verzi IP bez rodiny podle zjištění pracovníka, aby byla administrativa dokončena před poskytnutím další pomoci.","Prioritně řešit akutní potřebu a bezpečí, průběh zaznamenat a detailní IP dokončit s rodinou neprodleně po stabilizaci situace.","Poskytovat pouze krizovou pomoc a od individuálního plánování upustit, protože krizová situace mění charakter služby.",B,SAS-020-B,Metodika dává v akutní krizi přednost okamžité pomoci a bezpečí. Individuální plán tím ale nezaniká; má být dokončen s rodinou po stabilizaci situace.,Schopnost správně určit prioritu v mimořádné situaci.,ANO,1.0,Metodika SAS Emcéčko – přiložená verze,ANO
SAS-021,6,Standard 6 – procesní tabulka „Průběžné vedení záznamů“.,Lhůta zápisu kontaktu,ZÁKLADNÍ,znalostní,"Do kdy má být podle procesního pravidla zaznamenána návštěva, konzultace nebo jiný kontakt s rodinou?",Do konce kalendářního týdne.,Do nejbližší týmové porady.,Do dvou pracovních dnů.,C,SAS-021-C,Procesní tabulka Standardu 6 stanovuje maximálně dva pracovní dny.,Znalost praktické dokumentační povinnosti.,NE,1.0,Metodika SAS Emcéčko – přiložená verze,ANO
SAS-022,6,Standard 6.4 – Objektivita a věcnost záznamů.,Objektivita záznamu,STŘEDNÍ,situační,Která formulace nejlépe odpovídá pravidlům pro objektivní záznam?,"„Při návštěvě byly na stole tři neotevřené obálky; klient uvedl, že je zatím neprošel.“","„Klient při návštěvě působil, že poštu dlouhodobě nezvládá a pravděpodobně ji ignoruje.“","„Na stole byly tři neotevřené obálky, což podle pracovníka potvrzuje nízkou motivaci rodiny řešit finance.“",A,SAS-022-A,První zápis popisuje pozorovatelnou skutečnost a odděluje ji od sdělení klienta. Ostatní varianty prezentují interpretaci jako fakt.,Rozlišení faktu od hodnocení pracovníka.,NE,1.0,Metodika SAS Emcéčko – přiložená verze,ANO
SAS-023,6,Standard 6.4 – Opravy v písemné dokumentaci.,Opravy v dokumentaci,STŘEDNÍ,situační,Pracovník zjistí chybu v již napsaném papírovém záznamu. Jak má opravu provést?,"Chybný text začernit tak, aby jej už nebylo možné přečíst.","Původní text ponechat čitelný, jednoduše jej přeškrtnout a opravu opatřit datem a podpisem.",Původní zápis ponechat beze změny a správnou informaci uvést pouze v příštím záznamu.,B,SAS-023-B,Metodika vyžaduje zachování dohledatelnosti původního záznamu a integrity dokumentace.,Správnou techniku opravy dokumentace.,NE,1.0,Metodika SAS Emcéčko – přiložená verze,ANO
SAS-024,6,Standard 6.5 – Přístup k dokumentaci.,Přístup ke spisu a ochrana třetích osob,POKROČILÁ,situační,"Klient požádá o nahlédnutí do spisu a o kopie dokumentů. Některé z nich obsahují citlivé údaje o další osobě, která není jeho zákonným zástupcem. Jaký postup je nejlepší?","Umožnit kopii celého spisu, pokud klient potvrdí, že údaje jiné osoby nebude dále šířit.","Umožnit klientovi pouze nahlédnutí bez pořizování kopií, protože přítomnost údajů jiné osoby vylučuje právo na kopie.",Umožnit přístup a kopie v rozsahu týkajícím se klienta a současně vhodným způsobem chránit citlivé údaje dalších osob.,C,SAS-024-C,"Právo klienta na přístup a kopie se uplatňuje současně s ochranou osobních údajů dalších osob. Ani úplné zpřístupnění, ani plošné odmítnutí nejsou správné.",Vyvažování transparentnosti dokumentace a ochrany třetích osob.,ANO,1.0,Metodika SAS Emcéčko – přiložená verze,ANO
SAS-025,7,Standard 7.2–7.4.,Anonymní stížnost,ZÁKLADNÍ,znalostní,Může být stížnost na službu podána anonymně?,"Ano, anonymní stížnost se eviduje a vyhodnocuje stejně jako ostatní.","Ano, ale pouze pokud ji potvrdí další klient služby.","Ne, bez identifikace stěžovatele se stížnost neprošetřuje.",A,SAS-025-A,Metodika výslovně připouští anonymní stížnosti.,Znalost práva klienta na bezpečné podání stížnosti.,NE,1.0,Metodika SAS Emcéčko – přiložená verze,ANO
SAS-026,7,Standard 7.3 a 7.4.,Přijetí stížnosti,STŘEDNÍ,situační,"Klient při terénní návštěvě řekne pracovníkovi, že chce podat stížnost na způsob poskytování služby. Co má pracovník udělat?","Odkázat jej na vedoucího, protože běžný pracovník stížnost přijmout nesmí.","Stížnost přijmout, ústní podání zaznamenat a bez zbytečného odkladu ji postoupit vedoucímu.","Požádat klienta, aby ji nejprve přeformuloval jako písemné podání.",B,SAS-026-B,Kterýkoli pracovník má stížnost převzít; ústní stížnost se zaznamenává.,Praktický postup při přijetí stížnosti.,NE,1.0,Metodika SAS Emcéčko – přiložená verze,ANO
SAS-027,7,Standard 7.4 – Postoupení a určení kompetentní osoby.,Stížnost na vedoucího,STŘEDNÍ,situační,"Klient předá pracovníkovi stížnost, která směřuje přímo na vedoucího služby. Kam ji má pracovník podle metodiky postoupit?","Klíčovému pracovníkovi klienta, aby nejprve ověřil souvislosti případu.","Vedoucímu služby, který ji společně s klientem prošetří.",Statutárnímu zástupci Emcéčka nebo jím pověřené nestranné osobě.,C,SAS-027-C,"Stížnost na vedoucího nemá vyřizovat osoba, proti které směřuje.",Zajištění nestrannosti při vyřizování stížností.,NE,1.0,Metodika SAS Emcéčko – přiložená verze,ANO
SAS-028,7,Standard 7.4 – Vyřízení stížnosti a lhůty.,Prodloužení lhůty stížnosti,POKROČILÁ,situační,Prošetření složité stížnosti se blíží třicátému dni. Chybí ještě jeden důležitý podklad a bez něj by závěr nebyl dostatečně objektivní. Jak má vedoucí postupovat?,"Písemně informovat klienta o důvodu prodloužení, uvést nový termín a pokračovat v řádném prošetření.",Do třiceti dnů vydat předběžný závěr jako konečné vyřízení a po získání podkladu případně otevřít novou stížnost.,"Uzavřít stížnost podle dosavadních podkladů a chybějící informaci zohlednit jen tehdy, pokud klient podá odvolání.",A,SAS-028-A,"Metodika umožňuje u zvlášť složitého případu prodloužení lhůty, ale vyžaduje klienta písemně informovat o důvodu a novém termínu. Kvalita šetření nemá být obětována formálnímu dodržení lhůty.",Správnou reakci na střet požadavku na včasnost a řádné prošetření.,NE,1.0,Metodika SAS Emcéčko – přiložená verze,ANO
SAS-029,8,Standard 8.1 a 8.4.,Role SAS v síti,ZÁKLADNÍ,znalostní,Jakou základní roli má SAS při práci s dalšími službami a institucemi?,"Postupně převzít činnosti institucí, které rodina nezvládá využívat.","Být průvodcem a prostředníkem, který rodině pomáhá další zdroje využívat samostatně.","Omezovat počet dalších služeb, aby rodina měla jediný kontaktní bod v SAS.",B,SAS-029-B,SAS jiné služby nesupluje; podporuje rodinu v orientaci a využívání běžných zdrojů.,Pochopení role SAS v síti služeb.,NE,1.0,Metodika SAS Emcéčko – přiložená verze,ANO
SAS-030,8,Standard 8.2 a 8.5.,Sdílení informací se školou,STŘEDNÍ,situační,Škola telefonicky požádá pracovníka SAS o informace o rodinné situaci dítěte. Rodina nedala souhlas ke sdílení a nejde o situaci zákonné oznamovací povinnosti. Jak má pracovník postupovat?,"Poskytnout potřebné informace, protože škola patří mezi běžné partnery SAS.","Poslat škole celý aktuální souhrn situace, pokud je účelem pomoc dítěti.",Informace nepředat bez příslušného souhlasu a nejprve vyřešit účel a rozsah případného sdílení s rodinou.,C,SAS-030-C,Spolupráce se školou sama o sobě není oprávněním předávat osobní informace bez souhlasu.,Použití pravidel mlčenlivosti v mezioborové spolupráci.,ANO,1.0,Metodika SAS Emcéčko – přiložená verze,ANO
SAS-031,8,Standard 8.7 – Prevence zdvojování činností.,Psychoterapie a návazná péče,STŘEDNÍ,situační,"Pracovník zjistí, že klient potřebuje psychoterapeutickou péči. Jaká reakce odpovídá metodice?","Pomoci klientovi vhodnou odbornou službu najít, motivovat jej a případně zprostředkovat první kontakt.",Začít s klientem poskytovat psychoterapii v rámci běžných návštěv SAS.,"Téma uzavřít s tím, že psychické obtíže vůbec nepatří do práce SAS.",A,SAS-031-A,"SAS psychoterapii nenahrazuje, ale může klienta podporovat v jejím využití.",Rozlišení vlastní kompetence od zprostředkování odborné péče.,NE,1.0,Metodika SAS Emcéčko – přiložená verze,ANO
SAS-032,8,"Standard 8.2, 8.5 a 8.7.",Koordinace více služeb,POKROČILÁ,situační,"S rodinou pracuje škola, OSPOD, dluhová poradna a další sociální služba. Rodina uvádí, že dostává od různých pracovníků podobné úkoly a neví, kdo co řeší. Jaký postup je nejlepší?","Požádat OSPOD, aby převzal koordinaci všech oblastí, a ostatní služby se následně řídily jeho rozdělením úkolů.","S rodinou a zapojenými partnery vyjasnit role a cíle, koordinovat postup, omezit duplicity a sdílet informace jen v oprávněném rozsahu.","Ponechat každou instituci pracovat zcela odděleně, aby se minimalizovalo riziko porušení mlčenlivosti, i když se činnosti překrývají.",B,SAS-032-B,"Metodika požaduje koordinaci a nezdvojování činností, ale zároveň ochranu osobních údajů a respekt k roli rodiny. Úplná izolace ani automatické podřízení všech partnerů jedné instituci principům služby neodpovídá.",Koordinaci více služeb bez převzetí jejich rolí.,NE,1.0,Metodika SAS Emcéčko – přiložená verze,ANO
SAS-033,9,Standard 9.2 a 9.4.,Role pracovníka v sociálních službách,ZÁKLADNÍ,znalostní,Které činnosti podle metodiky typicky náleží pracovníkovi v sociálních službách?,Samostatné metodické řízení služby a rozhodování o přijetí zájemců.,Odborné vedení sociálních šetření a konečné rozhodování o cílech všech IP.,"Terénní asistence, doprovody, výchovné činnosti a nácvik praktických dovedností.",C,SAS-033-C,Metodika odlišuje kompetence pracovníka v sociálních službách od role sociálního pracovníka a vedoucího.,Orientaci v základním rozdělení rolí.,NE,1.0,Metodika SAS Emcéčko – přiložená verze,ANO
SAS-034,9,Standard 9.2 a 9.4.,Kompetence a týmové plánování,STŘEDNÍ,situační,Pracovník v sociálních službách při pravidelných návštěvách získává důležité poznatky o fungování rodiny. Jak je nejvhodnější využít při individuálním plánování?,Předat je v rámci týmu; odborné plánování vede sociální či klíčový pracovník a pracovník v sociálních službách realizuje úkoly v rámci své role.,"Nechat pracovníka v sociálních službách samostatně změnit cíle IP, protože rodinu vídá nejčastěji.","Poznatky do plánování nezařazovat, protože IP se týká pouze práce sociálního pracovníka.",A,SAS-034-A,"Týmová práce využívá poznatky všech zapojených pracovníků, ale jejich kompetence nejsou zaměnitelné.",Spolupráci profesí při zachování kompetenčních hranic.,NE,1.0,Metodika SAS Emcéčko – přiložená verze,ANO
SAS-035,9,Standard 9.3 – Zastupitelnost.,Zastupitelnost,STŘEDNÍ,situační,Klíčový pracovník náhle dlouhodobě vypadne z práce. Jak má služba postupovat?,Pozastavit spolupráci se všemi jeho rodinami do jeho návratu.,Zajistit přiměřené zastoupení jiným členem týmu a rodiny informovat o dočasné změně.,Automaticky převést všechny rodiny k jiné organizaci.,B,SAS-035-B,Organizační nastavení má zajistit kontinuitu služby i při absenci pracovníka.,Praktické uplatnění principu kontinuity služby.,NE,1.0,Metodika SAS Emcéčko – přiložená verze,ANO
SAS-036,9,Standard 9.2 a 9.4 – Externí odborníci.,Externí odborník,POKROČILÁ,situační,"Rodina potřebuje psychologickou konzultaci, která přesahuje odbornost týmu SAS. Potřeba ale souvisí s cíli individuálního plánu a ostatní podpora rodiny pokračuje. Jaký postup je nejlepší?","Sociální pracovník dočasně převezme psychologickou práci v rozsahu, který považuje za zvládnutelný, aby se nezdržoval postup IP.","Předat rodinu psychologovi jako celek a práci SAS pozastavit, dokud odborník svou část neukončí.",Zapojit vhodného externího odborníka pro specifickou potřebu a současně zachovat koordinaci ostatní podpory v rámci kompetencí SAS.,C,SAS-036-C,"Externí odborník doplňuje kompetence týmu v konkrétní oblasti. SAS nemá překračovat svou odbornost ani automaticky ukončovat či přerušovat podporu, která nadále spadá do její role.",Práci na hranici odborných kompetencí.,NE,1.0,Metodika SAS Emcéčko – přiložená verze,ANO
SAS-037,10,Standard 10.2 – Systém hodnocení pracovníků.,Hodnocení pracovníka,ZÁKLADNÍ,znalostní,Jak často podle metodiky probíhá hodnoticí pohovor pracovníka s vedoucím služby?,Jednou ročně.,Jednou za tři roky.,"Pouze tehdy, když vznikne problém ve výkonu práce.",A,SAS-037-A,Hodnoticí pohovor je pravidelnou součástí profesního rozvoje a plánování dalšího vzdělávání.,Znalost systému pracovního hodnocení.,NE,1.0,Metodika SAS Emcéčko – přiložená verze,ANO
SAS-038,10,Standard 10.3 – Další vzdělávání.,Vzdělávací plán,STŘEDNÍ,situační,Vedoucí připravuje roční vzdělávací plán pracovníka. Která kombinace podkladů nejlépe odpovídá metodice?,"Dostupná nabídka kurzů, finanční možnosti organizace a preference lektora.","Zákonné požadavky, potřeby služby a individuální profesní cíle pracovníka.","Přání pracovníka, doporučení kolegů a témata, která se objevila na poslední poradě.",B,SAS-038-B,"Vzdělávání má spojovat profesní povinnost, skutečné potřeby služby a individuální rozvoj pracovníka.",Smysluplné plánování profesního rozvoje.,NE,1.0,Metodika SAS Emcéčko – přiložená verze,ANO
SAS-039,10,Standard 10.4 – Zaškolování nových pracovníků.,Adaptace nového pracovníka,STŘEDNÍ,situační,Do týmu nastoupí nový pracovník. Který adaptační postup nejlépe odpovídá metodice?,Po seznámení s pracovní smlouvou začne pracovat samostatně a metodiku si prostuduje během roku.,První tři měsíce pouze pozoruje ostatní a nesmí vykonávat žádnou přímou práci.,"Absolvuje vstupní školení, seznámí se s metodikou a standardy, má mentora během přibližně tříměsíční adaptace a poté hodnoticí rozhovor.",C,SAS-039-C,Metodika popisuje strukturované uvedení pracovníka do praxe s mentoringem a závěrečným vyhodnocením adaptačního období.,Znalost adaptačního procesu.,NE,1.0,Metodika SAS Emcéčko – přiložená verze,ANO
